"YR","PROGRAM","STATE","ID","REP","HT_Clay Center","HT_Lincoln","HT_Sidney","TW_Clay Center","TW_Lincoln","TW_Sidney","YLD_Clay Center","YLD_Lincoln","YLD_Sidney"
2014,"University of Nebraska"," NE","15_18",2,80,88.011,80,NA,802,767,3295,5037,3793
2014,"University of Nebraska"," NE","15_44",2,82,89.0016,80,NA,801,808,3235,5158,4116
2014,"University of Nebraska"," NE","4_12",2,84,84.9884,78,NA,744,794,3383,4129,3867
2014,"University of Nebraska"," NE","4_19",2,78,81.9912,78,NA,777,703,3208,5387,4324
2014,"University of Nebraska"," NE","7_101",2,82,89.9922,80,NA,796,803,3457,4822,4398
2014,"University of Nebraska"," NE","7_105",2,80,89.9922,77,NA,795,801,2777,4997,3181
2014,"University of Nebraska"," NE","7_11",2,80,89.0016,77,NA,761,808,3632,4304,4862
2014,"University of Nebraska"," NE","7_140",2,80,92.9894,78,NA,790,803,3376,4950,4708
2014,"University of Nebraska"," NE","7_29",2,85,102.0064,81,NA,784,757,2455,4956,3948
2014,"University of Nebraska"," NE","7_45",2,80,89.9922,78,NA,770,773,3504,4418,4808
2014,"University of Nebraska"," NE","7_55",2,90,102.997,75,NA,766,764,3181,4539,3867
2014,"University of Nebraska"," NE","7_61",2,80,94.0054,80,NA,800,838,3315,5145,4230
2014,"University of Nebraska"," NE","7_86",2,76,88.011,75,NA,783,811,2798,4096,3510
2014,"University of Nebraska"," NE","7_9",2,82,102.0064,84,NA,785,806,2434,4687,2609
2014,"University of Nebraska"," NE","CO11D1111",2,80,81.9912,78,NA,771,786,3134,4365,2609
2014,"University of Nebraska"," NE","CO11D1119",2,81,81.9912,83,NA,761,749,2535,3652,4223
2014,"University of Nebraska"," NE","CO11D1125",2,88,89.9922,84,NA,758,792,2791,4412,4506
2014,"University of Nebraska"," NE","CO11D1127",2,80,83.9978,81,NA,802,781,2710,4512,3241
2014,"University of Nebraska"," NE","CO11D1140",2,84,94.0054,85,NA,759,803,3255,4351,4062
2014,"University of Nebraska"," NE","CO11D1156",2,85,94.0054,82,NA,792,784,3403,4963,5037
2014,"University of Nebraska"," NE","CO11D1159",2,85,91.9988,80,NA,799,816,3800,5225,4170
2014,"University of Nebraska"," NE","CO11D1174",2,84,89.9922,82,NA,740,776,3188,4048,4492
2014,"University of Nebraska"," NE","CO11D1182",2,76,86.0044,80,NA,796,808,3786,4694,5225
2014,"University of Nebraska"," NE","CO11D1186",2,78,89.9922,80,NA,780,830,2717,4546,4781
2014,"University of Nebraska"," NE","CO11D1190",2,80,89.9922,88,NA,783,792,3477,4923,5615
2014,"University of Nebraska"," NE","CO11D1213",2,75,84.9884,80,NA,787,784,3255,5198,4977
2014,"University of Nebraska"," NE","CO11D1219",2,85,94.996,84,NA,774,806,3558,4304,4015
2014,"University of Nebraska"," NE","CO11D1221",2,78,94.0054,88,NA,760,752,3436,4425,3988
2014,"University of Nebraska"," NE","CO11D1231",2,80,99.9998,98,NA,732,764,2737,4755,4708
2014,"University of Nebraska"," NE","CO11D1236",2,88,96.012,84,NA,762,803,4338,5400,4681
2014,"University of Nebraska"," NE","CO11D1240",2,66,78.0034,70,NA,754,744,1715,4728,3847
2014,"University of Nebraska"," NE","CO11D1248",2,88,94.0054,90,NA,799,781,3773,5353,4210
2014,"University of Nebraska"," NE","CO11D1268",2,73,94.0054,85,NA,802,789,3383,5360,4862
2014,"University of Nebraska"," NE","CO11D1287",2,88,91.9988,85,NA,769,838,3241,4445,4405
2014,"University of Nebraska"," NE","CO11D1298",2,85,94.0054,90,NA,771,786,3800,5232,5003
2014,"University of Nebraska"," NE","CO11D1302W",2,78,88.011,80,NA,774,789,3376,4600,4835
2014,"University of Nebraska"," NE","CO11D1312",2,83,91.9988,87,NA,770,754,3786,5447,4452
2014,"University of Nebraska"," NE","CO11D1315W",2,72,89.9922,80,NA,731,781,3134,3268,3974
2014,"University of Nebraska"," NE","CO11D1316W",2,75,89.9922,80,NA,758,781,3040,3968,3732
2014,"University of Nebraska"," NE","CO11D1322",2,80,88.011,80,NA,750,801,2744,3968,3477
